ordered_target_frames_achieved,timestep
0.3333333333333333,58000
0.3333333333333333,60000
0.3333333333333333,62000
0.6666666666666666,64000
0.3333333333333333,66000
0.3333333333333333,68000
0.3333333333333333,70000
0.3333333333333333,72000
0.3333333333333333,74000
0.6666666666666666,76000
0.3333333333333333,78000
0.3333333333333333,80000
0.3333333333333333,82000
0.3333333333333333,84000
0.3333333333333333,86000
0.3333333333333333,88000
0.3333333333333333,90000
0.3333333333333333,92000
0.3333333333333333,94000
0.3333333333333333,96000
0.3333333333333333,98000
0.3333333333333333,100000
0.6666666666666666,2000
0.6666666666666666,4000
0.6666666666666666,6000
0.6666666666666666,8000
0.6666666666666666,10000
0.6666666666666666,12000
0.6666666666666666,14000
0.6666666666666666,16000
0.6666666666666666,18000
0.6666666666666666,20000
0.6666666666666666,22000
0.6666666666666666,24000
0.6666666666666666,26000
0.6666666666666666,28000
0.6666666666666666,30000
0.6666666666666666,32000
